course_id,course_name,instructor,duration_hours,price,category,max_students
1,Inverse next generation attitude,Rudolph Täsche MBA.,63,517.44,design,15.0
2,Enhanced fault-tolerant initiative,Michael Stevenson,62,689.26,business,30.0
3,Right-sized bi-directional software,Kirsten Täsche,100,589.04,Marketing,44.0
4,Inverse modular project,Matthew Sparks,24,513.09,design,28.0
5,Cross-group didactic challenge,Rudolph Täsche MBA.,49,610.07,IT,50.0
6,Versatile client-server protocol,Kirsten Täsche,110,704.43,it,29.0
7,  Organized national frame,Hanno Naser,23,84.49,Business,32.0
8,Seamless object-oriented knowledge user,Matthew Sparks,67,373.02,Design,36.0
9,Expanded systemic functionalities,Jennifer Klein,92,561.35,it,21.0
10,Re-contextualized systematic framework,Rudolph Täsche MBA.,30h,507.12,Design,25.0
11,Universal grid-enabled array,Jennifer Klein,83,734.62,it,39.0
12,Seamless multimedia initiative,Lieselotte Lehmann-Henck,101,240.48,design,
13,Implemented analyzing hub,Kirsten Täsche,21,724.18,Business,44.0
14,  Adaptive tertiary open architecture,Valerie Reyes,40,105.4,Design,29.0
15,Customizable executive algorithm,Lieselotte Lehmann-Henck,101,,business,29.0
16,Optional tangible parallelism,Kirsten Täsche,45,799.53,IT,25.0
17,Self-enabling foreground structure,Knut Schenk,68,478.94,Business,28.0
18,Open-architected homogeneous Internet solution,Rudolph Täsche MBA.,22,783.46,Business,10.0
19,Switchable context-sensitive leverage,Hanno Naser,92,698.8,Design,41.0
20,Ergonomic next generation info-mediaries,Matthew Sparks,56h,631.81,Design,32.0
21,  Operative coherent forecast,Knut Schenk,48,527.46,Business,18.0
22,Devolved 24/7 archive,Hanno Naser,100,122.87,Business,38.0
23,Digitized uniform matrix,Jennifer Klein,24,484.68,IT,28.0
24,Devolved attitude-oriented challenge,Jennifer Klein,61,610.61,it,
25,Persevering zero tolerance standardization,Valerie Reyes,36,639.88,Design,42.0
26,Secured contextually-based knowledgebase,Lieselotte Lehmann-Henck,54,672.85,Marketing,40.0
27,Reactive local info-mediaries,Valerie Reyes,57,609.92,Marketing,17.0
28,  Face-to-face contextually-based interface,Jennifer Klein,79,772.17,Marketing,24.0
29,Re-engineered modular superstructure,Rudolph Täsche MBA.,106,593.16,Marketing,45.0
30,Universal motivating flexibility,Rudolph Täsche MBA.,66h,,IT,26.0
31,Quality-focused object-oriented hierarchy,Valerie Reyes,88,142.69,design,26.0
32,Automated non-volatile matrices,Valerie Reyes,94,335.77,IT,24.0
33,Customizable optimal matrices,Michael Stevenson,80,68.77,Business,49.0
34,Digitized upward-trending superstructure,Kirsten Täsche,48,535.74,design,29.0
35,  Persistent multi-state artificial intelligence,Jennifer Klein,103,356.22,IT,12.0
36,Fully-configurable methodical product,Ing. Randolf Keudel,58,796.95,IT,
37,Synergized scalable moratorium,Jennifer Klein,50,715.44,business,39.0
38,Seamless actuating Graphical User Interface,Michael Stevenson,67,552.86,business,47.0
39,Phased logistical migration,Rudolph Täsche MBA.,115,594.95,design,16.0
40,Re-engineered upward-trending groupware,Lieselotte Lehmann-Henck,82h,511.74,IT,33.0
41,Multi-channeled explicit frame,Matthew Sparks,47,382.54,Marketing,33.0
42,  Automated system-worthy policy,Valerie Reyes,32,785.7,Design,32.0
43,Upgradable zero tolerance open system,Matthew Sparks,27,348.6,IT,39.0
44,Centralized responsive leverage,Knut Schenk,31,547.08,IT,13.0
45,Re-engineered actuating protocol,Jennifer Klein,120,,Marketing,46.0
46,User-centric regional algorithm,Michael Stevenson,46,101.46,it,47.0
47,Pre-emptive attitude-oriented capacity,Matthew Sparks,47,659.79,Business,19.0
48,Grass-roots eco-centric capacity,Hanno Naser,120,725.4,Business,
49,  Grass-roots eco-centric access,Michael Stevenson,38,790.65,Business,21.0
50,Robust context-sensitive parallelism,Hanno Naser,34h,545.79,it,10.0
51,Switchable local hub,Matthew Sparks,65,642.49,Design,30.0
52,Fundamental zero tolerance standardization,Hanno Naser,22,180.68,it,36.0
53,Pre-emptive contextually-based website,Ing. Randolf Keudel,87,135.24,business,38.0
54,Mandatory attitude-oriented circuit,Knut Schenk,119,321.53,IT,38.0
55,Proactive web-enabled installation,Knut Schenk,84,216.16,IT,43.0
56,  Front-line stable intranet,Hanno Naser,58,393.53,IT,40.0
57,Expanded object-oriented superstructure,Ing. Randolf Keudel,71,369.71,business,38.0
58,Business-focused secondary firmware,Valerie Reyes,29,724.45,Design,19.0
59,Business-focused composite Local Area Network,Knut Schenk,28,144.64,design,47.0
60,Phased exuding leverage,Rudolph Täsche MBA.,90h,,Design,
3,Right-sized bi-directional software,Kirsten Täsche,100,589.04,Marketing,44.0
